"","AIC","BIC","Loglikelihood","Process.Time"
"Lasso",9800.17981920009,9891.94266486632,-4886.08990960004,9.02800000000025
"ALasso",9798.04791280934,9889.81075847558,-4885.02395640467,10.3509999999997
"MCP",9837.39694938439,9896.38735016983,-4909.69847469219,8.22699999999986
"SCAD",9837.39886980184,9896.38927058728,-4909.69943490092,16.607
"AMAZonn",9796.79849328354,9888.56133894978,-4884.39924664177,7.97699999999986
