"","AIC","BIC","Loglikelihood","Process.Time"
"Lasso",9068.92111240867,9180.34742500338,-4517.46055620433,287.007
"ALasso",9066.52278808099,9151.73114477107,-4520.2613940405,352.987
"MCP",9104.96757222117,9203.28490686357,-4537.48378611059,77.2629999999999
"SCAD",9092.985132512,9151.97553329744,-4537.492566256,95.0189999999993
"AMAZonn",9055.20696310881,9153.52429775121,-4512.6034815544,295.191
