"","AIC","BIC","Loglikelihood","Process.Time"
"Lasso",7351.05481696179,7411.57886831443,-3664.5274084809,159.195
"ALasso",7349.70586170424,7437.74084548989,-3658.85293085212,608.959
"MCP",7319.66277344925,7380.18682480189,-3648.83138672463,4780.077
"SCAD",7329.30701794516,7384.32888281119,-3654.65350897258,321.947
"AMAZonn",7334.28001521828,7394.80406657091,-3656.14000760914,276.666999999999
