,AIC,BIC,Loglikelihood,Process.Time
Lasso,8870.167747,9062.744274,-4400.083874,50.235
ALasso,8859.430603,9002.487452,-4403.715301,25.92
MCP,8972.942197,9033.466249,-4475.471099,4.626
SCAD,8978.461045,9044.487283,-4477.230523,12.244
AMAZonn,8872.879825,8982.923555,-4416.439913,25.615
